"키","파일","구울크기","그릴크기","갈래","이름","프롬프트"
"tile_path2","assets/tiles/path2.png","64x64","32x32","바닥 타일(이어 붙음)","흙길 변형2","the same dirt path with a slightly different grit scatter. Seamless repeating floor tile, straight top-down view (camera exactly overhead). The image fills the entire canvas edge to edge with no border, no frame, no margin. ⚠ CRITICAL: the tile is laid in a 40x32 grid, so it must tile seamlessly — left edge must continue into the right edge and top into bottom. ABSOLUTELY NO directional light (no brighter-top/darker-bottom), NO vignette, NO border or outline on any edge, NO single big feature in the centre. Keep the base colour perfectly flat and put all variation into small scattered speckles and marks that do not touch the edges. Flat vector game art, hand-painted storybook look, soft cel shading with two or three tone steps per surface, NO black outlines, NO gradients across the whole image, NO photorealism, NO 3D render, NO pixel art dithering. Warm saturated fantasy palette anchored on: grass #49a34a, deep leaf #3f9642, wood #8b5a2b, dark wood #6b4423, stone #8f97ab, cold stone #b7bfd0, water #7cc4ff, pale sky #cfe4ff, gold #ffd166, pale gold #ffe9a8, ember #c98a5c, arcane #c58cff, shadow #2a0c08. Clean readable silhouette that still reads at 1/4 size. Even ambient light from above, no cast shadow on the ground unless asked."
"tile_pebble","assets/tiles/pebble.png","64x64","32x32","얹는 타일","잔돌","a handful of small grey pebbles lying loose. Single object drawn small and centred, seen from a 3/4 top-down angle. Subject fully isolated on a pure flat #00FF00 background (nothing else in frame), so the background can be keyed out to transparent. Do not crop any part of the subject. The outer edge of the object must be ragged and irregular (not a filled square), because this is layered on top of a ground tile and the ground shows through around it. No ground, no grass, no base plate underneath. Flat vector game art, hand-painted storybook look, soft cel shading with two or three tone steps per surface, NO black outlines, NO gradients across the whole image, NO photorealism, NO 3D render, NO pixel art dithering. Warm saturated fantasy palette anchored on: grass #49a34a, deep leaf #3f9642, wood #8b5a2b, dark wood #6b4423, stone #8f97ab, cold stone #b7bfd0, water #7cc4ff, pale sky #cfe4ff, gold #ffd166, pale gold #ffe9a8, ember #c98a5c, arcane #c58cff, shadow #2a0c08. Clean readable silhouette that still reads at 1/4 size. Even ambient light from above, no cast shadow on the ground unless asked."
"tile_bush","assets/tiles/bush.png","64x64","32x32","얹는 타일","덤불","a low round leafy bush. Single object drawn small and centred, seen from a 3/4 top-down angle. Subject fully isolated on a pure flat #00FF00 background (nothing else in frame), so the background can be keyed out to transparent. Do not crop any part of the subject. The outer edge of the object must be ragged and irregular (not a filled square), because this is layered on top of a ground tile and the ground shows through around it. No ground, no grass, no base plate underneath. Flat vector game art, hand-painted storybook look, soft cel shading with two or three tone steps per surface, NO black outlines, NO gradients across the whole image, NO photorealism, NO 3D render, NO pixel art dithering. Warm saturated fantasy palette anchored on: grass #49a34a, deep leaf #3f9642, wood #8b5a2b, dark wood #6b4423, stone #8f97ab, cold stone #b7bfd0, water #7cc4ff, pale sky #cfe4ff, gold #ffd166, pale gold #ffe9a8, ember #c98a5c, arcane #c58cff, shadow #2a0c08. Clean readable silhouette that still reads at 1/4 size. Even ambient light from above, no cast shadow on the ground unless asked."
"tile_stump","assets/tiles/stump.png","64x64","32x32","얹는 타일","그루터기","a cut tree stump with visible rings. Single object drawn small and centred, seen from a 3/4 top-down angle. Subject fully isolated on a pure flat #00FF00 background (nothing else in frame), so the background can be keyed out to transparent. Do not crop any part of the subject. The outer edge of the object must be ragged and irregular (not a filled square), because this is layered on top of a ground tile and the ground shows through around it. No ground, no grass, no base plate underneath. Flat vector game art, hand-painted storybook look, soft cel shading with two or three tone steps per surface, NO black outlines, NO gradients across the whole image, NO photorealism, NO 3D render, NO pixel art dithering. Warm saturated fantasy palette anchored on: grass #49a34a, deep leaf #3f9642, wood #8b5a2b, dark wood #6b4423, stone #8f97ab, cold stone #b7bfd0, water #7cc4ff, pale sky #cfe4ff, gold #ffd166, pale gold #ffe9a8, ember #c98a5c, arcane #c58cff, shadow #2a0c08. Clean readable silhouette that still reads at 1/4 size. Even ambient light from above, no cast shadow on the ground unless asked."
"tile_grass_tall","assets/tiles/grass_tall.png","64x64","32x32","얹는 타일","키큰 풀","a clump of tall wild grass growing up out of the ground. Single object drawn small and centred, seen from a 3/4 top-down angle. Subject fully isolated on a pure flat #00FF00 background (nothing else in frame), so the background can be keyed out to transparent. Do not crop any part of the subject. The outer edge of the object must be ragged and irregular (not a filled square), because this is layered on top of a ground tile and the ground shows through around it. No ground, no grass, no base plate underneath. Flat vector game art, hand-painted storybook look, soft cel shading with two or three tone steps per surface, NO black outlines, NO gradients across the whole image, NO photorealism, NO 3D render, NO pixel art dithering. Warm saturated fantasy palette anchored on: grass #49a34a, deep leaf #3f9642, wood #8b5a2b, dark wood #6b4423, stone #8f97ab, cold stone #b7bfd0, water #7cc4ff, pale sky #cfe4ff, gold #ffd166, pale gold #ffe9a8, ember #c98a5c, arcane #c58cff, shadow #2a0c08. Clean readable silhouette that still reads at 1/4 size. Even ambient light from above, no cast shadow on the ground unless asked."
"tile_tree2","assets/tiles/tree2.png","64x64","32x32","얹는 타일","나무 변형2","a small conifer with a darker needled canopy. Single object drawn small and centred, seen from a 3/4 top-down angle. Subject fully isolated on a pure flat #00FF00 background (nothing else in frame), so the background can be keyed out to transparent. Do not crop any part of the subject. The outer edge of the object must be ragged and irregular (not a filled square), because this is layered on top of a ground tile and the ground shows through around it. No ground, no grass, no base plate underneath. Flat vector game art, hand-painted storybook look, soft cel shading with two or three tone steps per surface, NO black outlines, NO gradients across the whole image, NO photorealism, NO 3D render, NO pixel art dithering. Warm saturated fantasy palette anchored on: grass #49a34a, deep leaf #3f9642, wood #8b5a2b, dark wood #6b4423, stone #8f97ab, cold stone #b7bfd0, water #7cc4ff, pale sky #cfe4ff, gold #ffd166, pale gold #ffe9a8, ember #c98a5c, arcane #c58cff, shadow #2a0c08. Clean readable silhouette that still reads at 1/4 size. Even ambient light from above, no cast shadow on the ground unless asked."
"tile_tree3","assets/tiles/tree3.png","64x64","32x32","얹는 타일","나무 변형3","a small broadleaf tree with a lighter, yellower canopy. Single object drawn small and centred, seen from a 3/4 top-down angle. Subject fully isolated on a pure flat #00FF00 background (nothing else in frame), so the background can be keyed out to transparent. Do not crop any part of the subject. The outer edge of the object must be ragged and irregular (not a filled square), because this is layered on top of a ground tile and the ground shows through around it. No ground, no grass, no base plate underneath. Flat vector game art, hand-painted storybook look, soft cel shading with two or three tone steps per surface, NO black outlines, NO gradients across the whole image, NO photorealism, NO 3D render, NO pixel art dithering. Warm saturated fantasy palette anchored on: grass #49a34a, deep leaf #3f9642, wood #8b5a2b, dark wood #6b4423, stone #8f97ab, cold stone #b7bfd0, water #7cc4ff, pale sky #cfe4ff, gold #ffd166, pale gold #ffe9a8, ember #c98a5c, arcane #c58cff, shadow #2a0c08. Clean readable silhouette that still reads at 1/4 size. Even ambient light from above, no cast shadow on the ground unless asked."
"tile_edge_grass_n","assets/tiles/edge_grass_n.png","64x64","32x32","이음새 타일","길가 풀(n)","short meadow grass on the top edge meeting bare dirt across the rest of the tile. Transition tile: one single edge of the square carries the second material, the rest of the tile is the first material. Straight top-down view. The image fills the entire canvas edge to edge with no border, no frame, no margin. The wavy boundary must start and end exactly at the two side edges so that neighbouring copies line up. No directional light, no border. Flat vector game art, hand-painted storybook look, soft cel shading with two or three tone steps per surface, NO black outlines, NO gradients across the whole image, NO photorealism, NO 3D render, NO pixel art dithering. Warm saturated fantasy palette anchored on: grass #49a34a, deep leaf #3f9642, wood #8b5a2b, dark wood #6b4423, stone #8f97ab, cold stone #b7bfd0, water #7cc4ff, pale sky #cfe4ff, gold #ffd166, pale gold #ffe9a8, ember #c98a5c, arcane #c58cff, shadow #2a0c08. Clean readable silhouette that still reads at 1/4 size. Even ambient light from above, no cast shadow on the ground unless asked."
"tile_edge_grass_e","assets/tiles/edge_grass_e.png","64x64","32x32","이음새 타일","길가 풀(e)","short meadow grass on the right edge meeting bare dirt across the rest of the tile. Transition tile: one single edge of the square carries the second material, the rest of the tile is the first material. Straight top-down view. The image fills the entire canvas edge to edge with no border, no frame, no margin. The wavy boundary must start and end exactly at the two side edges so that neighbouring copies line up. No directional light, no border. Flat vector game art, hand-painted storybook look, soft cel shading with two or three tone steps per surface, NO black outlines, NO gradients across the whole image, NO photorealism, NO 3D render, NO pixel art dithering. Warm saturated fantasy palette anchored on: grass #49a34a, deep leaf #3f9642, wood #8b5a2b, dark wood #6b4423, stone #8f97ab, cold stone #b7bfd0, water #7cc4ff, pale sky #cfe4ff, gold #ffd166, pale gold #ffe9a8, ember #c98a5c, arcane #c58cff, shadow #2a0c08. Clean readable silhouette that still reads at 1/4 size. Even ambient light from above, no cast shadow on the ground unless asked."
"tile_edge_grass_s","assets/tiles/edge_grass_s.png","64x64","32x32","이음새 타일","길가 풀(s)","short meadow grass on the bottom edge meeting bare dirt across the rest of the tile. Transition tile: one single edge of the square carries the second material, the rest of the tile is the first material. Straight top-down view. The image fills the entire canvas edge to edge with no border, no frame, no margin. The wavy boundary must start and end exactly at the two side edges so that neighbouring copies line up. No directional light, no border. Flat vector game art, hand-painted storybook look, soft cel shading with two or three tone steps per surface, NO black outlines, NO gradients across the whole image, NO photorealism, NO 3D render, NO pixel art dithering. Warm saturated fantasy palette anchored on: grass #49a34a, deep leaf #3f9642, wood #8b5a2b, dark wood #6b4423, stone #8f97ab, cold stone #b7bfd0, water #7cc4ff, pale sky #cfe4ff, gold #ffd166, pale gold #ffe9a8, ember #c98a5c, arcane #c58cff, shadow #2a0c08. Clean readable silhouette that still reads at 1/4 size. Even ambient light from above, no cast shadow on the ground unless asked."
"tile_edge_grass_w","assets/tiles/edge_grass_w.png","64x64","32x32","이음새 타일","길가 풀(w)","short meadow grass on the left edge meeting bare dirt across the rest of the tile. Transition tile: one single edge of the square carries the second material, the rest of the tile is the first material. Straight top-down view. The image fills the entire canvas edge to edge with no border, no frame, no margin. The wavy boundary must start and end exactly at the two side edges so that neighbouring copies line up. No directional light, no border. Flat vector game art, hand-painted storybook look, soft cel shading with two or three tone steps per surface, NO black outlines, NO gradients across the whole image, NO photorealism, NO 3D render, NO pixel art dithering. Warm saturated fantasy palette anchored on: grass #49a34a, deep leaf #3f9642, wood #8b5a2b, dark wood #6b4423, stone #8f97ab, cold stone #b7bfd0, water #7cc4ff, pale sky #cfe4ff, gold #ffd166, pale gold #ffe9a8, ember #c98a5c, arcane #c58cff, shadow #2a0c08. Clean readable silhouette that still reads at 1/4 size. Even ambient light from above, no cast shadow on the ground unless asked."
"tile_castle_gate_ul","assets/tiles/castle_gate_ul.png","64x64","32x32","얹는 타일","성문 좌상","TOP-LEFT quarter of a great arched castle gatehouse (iron-banded double doors under a stone arch). Single object drawn small and centred, seen from a 3/4 top-down angle. Subject fully isolated on a pure flat #00FF00 background (nothing else in frame), so the background can be keyed out to transparent. Do not crop any part of the subject. The outer edge of the object must be ragged and irregular (not a filled square), because this is layered on top of a ground tile and the ground shows through around it. No ground, no grass, no base plate underneath. Flat vector game art, hand-painted storybook look, soft cel shading with two or three tone steps per surface, NO black outlines, NO gradients across the whole image, NO photorealism, NO 3D render, NO pixel art dithering. Warm saturated fantasy palette anchored on: grass #49a34a, deep leaf #3f9642, wood #8b5a2b, dark wood #6b4423, stone #8f97ab, cold stone #b7bfd0, water #7cc4ff, pale sky #cfe4ff, gold #ffd166, pale gold #ffe9a8, ember #c98a5c, arcane #c58cff, shadow #2a0c08. Clean readable silhouette that still reads at 1/4 size. Even ambient light from above, no cast shadow on the ground unless asked."
"tile_castle_gate_ur","assets/tiles/castle_gate_ur.png","64x64","32x32","얹는 타일","성문 우상","TOP-RIGHT quarter of that same great arched castle gatehouse. Single object drawn small and centred, seen from a 3/4 top-down angle. Subject fully isolated on a pure flat #00FF00 background (nothing else in frame), so the background can be keyed out to transparent. Do not crop any part of the subject. The outer edge of the object must be ragged and irregular (not a filled square), because this is layered on top of a ground tile and the ground shows through around it. No ground, no grass, no base plate underneath. Flat vector game art, hand-painted storybook look, soft cel shading with two or three tone steps per surface, NO black outlines, NO gradients across the whole image, NO photorealism, NO 3D render, NO pixel art dithering. Warm saturated fantasy palette anchored on: grass #49a34a, deep leaf #3f9642, wood #8b5a2b, dark wood #6b4423, stone #8f97ab, cold stone #b7bfd0, water #7cc4ff, pale sky #cfe4ff, gold #ffd166, pale gold #ffe9a8, ember #c98a5c, arcane #c58cff, shadow #2a0c08. Clean readable silhouette that still reads at 1/4 size. Even ambient light from above, no cast shadow on the ground unless asked."
"tile_castle_gate_dl","assets/tiles/castle_gate_dl.png","64x64","32x32","얹는 타일","성문 좌하","BOTTOM-LEFT quarter of that same great arched castle gatehouse. Single object drawn small and centred, seen from a 3/4 top-down angle. Subject fully isolated on a pure flat #00FF00 background (nothing else in frame), so the background can be keyed out to transparent. Do not crop any part of the subject. The outer edge of the object must be ragged and irregular (not a filled square), because this is layered on top of a ground tile and the ground shows through around it. No ground, no grass, no base plate underneath. Flat vector game art, hand-painted storybook look, soft cel shading with two or three tone steps per surface, NO black outlines, NO gradients across the whole image, NO photorealism, NO 3D render, NO pixel art dithering. Warm saturated fantasy palette anchored on: grass #49a34a, deep leaf #3f9642, wood #8b5a2b, dark wood #6b4423, stone #8f97ab, cold stone #b7bfd0, water #7cc4ff, pale sky #cfe4ff, gold #ffd166, pale gold #ffe9a8, ember #c98a5c, arcane #c58cff, shadow #2a0c08. Clean readable silhouette that still reads at 1/4 size. Even ambient light from above, no cast shadow on the ground unless asked."
"tile_castle_gate_dr","assets/tiles/castle_gate_dr.png","64x64","32x32","얹는 타일","성문 우하","BOTTOM-RIGHT quarter of that same great arched castle gatehouse. Single object drawn small and centred, seen from a 3/4 top-down angle. Subject fully isolated on a pure flat #00FF00 background (nothing else in frame), so the background can be keyed out to transparent. Do not crop any part of the subject. The outer edge of the object must be ragged and irregular (not a filled square), because this is layered on top of a ground tile and the ground shows through around it. No ground, no grass, no base plate underneath. Flat vector game art, hand-painted storybook look, soft cel shading with two or three tone steps per surface, NO black outlines, NO gradients across the whole image, NO photorealism, NO 3D render, NO pixel art dithering. Warm saturated fantasy palette anchored on: grass #49a34a, deep leaf #3f9642, wood #8b5a2b, dark wood #6b4423, stone #8f97ab, cold stone #b7bfd0, water #7cc4ff, pale sky #cfe4ff, gold #ffd166, pale gold #ffe9a8, ember #c98a5c, arcane #c58cff, shadow #2a0c08. Clean readable silhouette that still reads at 1/4 size. Even ambient light from above, no cast shadow on the ground unless asked."
"tile_castle_tower_tl","assets/tiles/castle_tower_tl.png","64x64","32x32","얹는 타일","망루 좌상","TOP-LEFT quarter of a round castle watchtower with a conical roof. Single object drawn small and centred, seen from a 3/4 top-down angle. Subject fully isolated on a pure flat #00FF00 background (nothing else in frame), so the background can be keyed out to transparent. Do not crop any part of the subject. The outer edge of the object must be ragged and irregular (not a filled square), because this is layered on top of a ground tile and the ground shows through around it. No ground, no grass, no base plate underneath. Flat vector game art, hand-painted storybook look, soft cel shading with two or three tone steps per surface, NO black outlines, NO gradients across the whole image, NO photorealism, NO 3D render, NO pixel art dithering. Warm saturated fantasy palette anchored on: grass #49a34a, deep leaf #3f9642, wood #8b5a2b, dark wood #6b4423, stone #8f97ab, cold stone #b7bfd0, water #7cc4ff, pale sky #cfe4ff, gold #ffd166, pale gold #ffe9a8, ember #c98a5c, arcane #c58cff, shadow #2a0c08. Clean readable silhouette that still reads at 1/4 size. Even ambient light from above, no cast shadow on the ground unless asked."
"tile_castle_tower_tr","assets/tiles/castle_tower_tr.png","64x64","32x32","얹는 타일","망루 우상","TOP-RIGHT quarter of that same round castle watchtower. Single object drawn small and centred, seen from a 3/4 top-down angle. Subject fully isolated on a pure flat #00FF00 background (nothing else in frame), so the background can be keyed out to transparent. Do not crop any part of the subject. The outer edge of the object must be ragged and irregular (not a filled square), because this is layered on top of a ground tile and the ground shows through around it. No ground, no grass, no base plate underneath. Flat vector game art, hand-painted storybook look, soft cel shading with two or three tone steps per surface, NO black outlines, NO gradients across the whole image, NO photorealism, NO 3D render, NO pixel art dithering. Warm saturated fantasy palette anchored on: grass #49a34a, deep leaf #3f9642, wood #8b5a2b, dark wood #6b4423, stone #8f97ab, cold stone #b7bfd0, water #7cc4ff, pale sky #cfe4ff, gold #ffd166, pale gold #ffe9a8, ember #c98a5c, arcane #c58cff, shadow #2a0c08. Clean readable silhouette that still reads at 1/4 size. Even ambient light from above, no cast shadow on the ground unless asked."
"tile_castle_tower_bl","assets/tiles/castle_tower_bl.png","64x64","32x32","얹는 타일","망루 좌하","BOTTOM-LEFT quarter of that same round castle watchtower. Single object drawn small and centred, seen from a 3/4 top-down angle. Subject fully isolated on a pure flat #00FF00 background (nothing else in frame), so the background can be keyed out to transparent. Do not crop any part of the subject. The outer edge of the object must be ragged and irregular (not a filled square), because this is layered on top of a ground tile and the ground shows through around it. No ground, no grass, no base plate underneath. Flat vector game art, hand-painted storybook look, soft cel shading with two or three tone steps per surface, NO black outlines, NO gradients across the whole image, NO photorealism, NO 3D render, NO pixel art dithering. Warm saturated fantasy palette anchored on: grass #49a34a, deep leaf #3f9642, wood #8b5a2b, dark wood #6b4423, stone #8f97ab, cold stone #b7bfd0, water #7cc4ff, pale sky #cfe4ff, gold #ffd166, pale gold #ffe9a8, ember #c98a5c, arcane #c58cff, shadow #2a0c08. Clean readable silhouette that still reads at 1/4 size. Even ambient light from above, no cast shadow on the ground unless asked."
"tile_castle_tower_br","assets/tiles/castle_tower_br.png","64x64","32x32","얹는 타일","망루 우하","BOTTOM-RIGHT quarter of that same round castle watchtower. Single object drawn small and centred, seen from a 3/4 top-down angle. Subject fully isolated on a pure flat #00FF00 background (nothing else in frame), so the background can be keyed out to transparent. Do not crop any part of the subject. The outer edge of the object must be ragged and irregular (not a filled square), because this is layered on top of a ground tile and the ground shows through around it. No ground, no grass, no base plate underneath. Flat vector game art, hand-painted storybook look, soft cel shading with two or three tone steps per surface, NO black outlines, NO gradients across the whole image, NO photorealism, NO 3D render, NO pixel art dithering. Warm saturated fantasy palette anchored on: grass #49a34a, deep leaf #3f9642, wood #8b5a2b, dark wood #6b4423, stone #8f97ab, cold stone #b7bfd0, water #7cc4ff, pale sky #cfe4ff, gold #ffd166, pale gold #ffe9a8, ember #c98a5c, arcane #c58cff, shadow #2a0c08. Clean readable silhouette that still reads at 1/4 size. Even ambient light from above, no cast shadow on the ground unless asked."
"tile_castle_batt","assets/tiles/castle_batt.png","64x64","32x32","얹는 타일","성벽 총안","a battlement merlon seen from above. Single object drawn small and centred, seen from a 3/4 top-down angle. Subject fully isolated on a pure flat #00FF00 background (nothing else in frame), so the background can be keyed out to transparent. Do not crop any part of the subject. The outer edge of the object must be ragged and irregular (not a filled square), because this is layered on top of a ground tile and the ground shows through around it. No ground, no grass, no base plate underneath. Flat vector game art, hand-painted storybook look, soft cel shading with two or three tone steps per surface, NO black outlines, NO gradients across the whole image, NO photorealism, NO 3D render, NO pixel art dithering. Warm saturated fantasy palette anchored on: grass #49a34a, deep leaf #3f9642, wood #8b5a2b, dark wood #6b4423, stone #8f97ab, cold stone #b7bfd0, water #7cc4ff, pale sky #cfe4ff, gold #ffd166, pale gold #ffe9a8, ember #c98a5c, arcane #c58cff, shadow #2a0c08. Clean readable silhouette that still reads at 1/4 size. Even ambient light from above, no cast shadow on the ground unless asked."
"tile_castle_window","assets/tiles/castle_window.png","64x64","32x32","얹는 타일","성벽 창","a narrow arched castle window with dark glass. Single object drawn small and centred, seen from a 3/4 top-down angle. Subject fully isolated on a pure flat #00FF00 background (nothing else in frame), so the background can be keyed out to transparent. Do not crop any part of the subject. The outer edge of the object must be ragged and irregular (not a filled square), because this is layered on top of a ground tile and the ground shows through around it. No ground, no grass, no base plate underneath. Flat vector game art, hand-painted storybook look, soft cel shading with two or three tone steps per surface, NO black outlines, NO gradients across the whole image, NO photorealism, NO 3D render, NO pixel art dithering. Warm saturated fantasy palette anchored on: grass #49a34a, deep leaf #3f9642, wood #8b5a2b, dark wood #6b4423, stone #8f97ab, cold stone #b7bfd0, water #7cc4ff, pale sky #cfe4ff, gold #ffd166, pale gold #ffe9a8, ember #c98a5c, arcane #c58cff, shadow #2a0c08. Clean readable silhouette that still reads at 1/4 size. Even ambient light from above, no cast shadow on the ground unless asked."
"tile_tree_shade","assets/tiles/tree_shade.png","112x80","56x40","키 큰 타일","나무 그늘","a soft pool of dappled tree shade, semi-transparent dark green. Tall object standing on the ground, seen from a 3/4 top-down angle, drawn so that the base sits at the very bottom edge of the canvas and the top is free. Subject fully isolated on a pure flat #00FF00 background (nothing else in frame), so the background can be keyed out to transparent. Do not crop any part of the subject. No ground plate, no shadow disc under it. Flat vector game art, hand-painted storybook look, soft cel shading with two or three tone steps per surface, NO black outlines, NO gradients across the whole image, NO photorealism, NO 3D render, NO pixel art dithering. Warm saturated fantasy palette anchored on: grass #49a34a, deep leaf #3f9642, wood #8b5a2b, dark wood #6b4423, stone #8f97ab, cold stone #b7bfd0, water #7cc4ff, pale sky #cfe4ff, gold #ffd166, pale gold #ffe9a8, ember #c98a5c, arcane #c58cff, shadow #2a0c08. Clean readable silhouette that still reads at 1/4 size. Even ambient light from above, no cast shadow on the ground unless asked."
"tile_house_roof_top","assets/tiles/house_roof_top.png","64x240","32x120","키 큰 타일","지붕 윗줄","the ridge cap of a terracotta roof, running left to right. Tall object standing on the ground, seen from a 3/4 top-down angle, drawn so that the base sits at the very bottom edge of the canvas and the top is free. Subject fully isolated on a pure flat #00FF00 background (nothing else in frame), so the background can be keyed out to transparent. Do not crop any part of the subject. No ground plate, no shadow disc under it. Flat vector game art, hand-painted storybook look, soft cel shading with two or three tone steps per surface, NO black outlines, NO gradients across the whole image, NO photorealism, NO 3D render, NO pixel art dithering. Warm saturated fantasy palette anchored on: grass #49a34a, deep leaf #3f9642, wood #8b5a2b, dark wood #6b4423, stone #8f97ab, cold stone #b7bfd0, water #7cc4ff, pale sky #cfe4ff, gold #ffd166, pale gold #ffe9a8, ember #c98a5c, arcane #c58cff, shadow #2a0c08. Clean readable silhouette that still reads at 1/4 size. Even ambient light from above, no cast shadow on the ground unless asked."
"tile_house_roof_top_l","assets/tiles/house_roof_top_l.png","64x240","32x120","키 큰 타일","지붕 윗줄 · 왼쪽 끝","the left end cap of a terracotta roof ridge. Tall object standing on the ground, seen from a 3/4 top-down angle, drawn so that the base sits at the very bottom edge of the canvas and the top is free. Subject fully isolated on a pure flat #00FF00 background (nothing else in frame), so the background can be keyed out to transparent. Do not crop any part of the subject. No ground plate, no shadow disc under it. Flat vector game art, hand-painted storybook look, soft cel shading with two or three tone steps per surface, NO black outlines, NO gradients across the whole image, NO photorealism, NO 3D render, NO pixel art dithering. Warm saturated fantasy palette anchored on: grass #49a34a, deep leaf #3f9642, wood #8b5a2b, dark wood #6b4423, stone #8f97ab, cold stone #b7bfd0, water #7cc4ff, pale sky #cfe4ff, gold #ffd166, pale gold #ffe9a8, ember #c98a5c, arcane #c58cff, shadow #2a0c08. Clean readable silhouette that still reads at 1/4 size. Even ambient light from above, no cast shadow on the ground unless asked."
"tile_house_roof_top_r","assets/tiles/house_roof_top_r.png","64x240","32x120","키 큰 타일","지붕 윗줄 · 오른쪽 끝","the right end cap of a terracotta roof ridge. Tall object standing on the ground, seen from a 3/4 top-down angle, drawn so that the base sits at the very bottom edge of the canvas and the top is free. Subject fully isolated on a pure flat #00FF00 background (nothing else in frame), so the background can be keyed out to transparent. Do not crop any part of the subject. No ground plate, no shadow disc under it. Flat vector game art, hand-painted storybook look, soft cel shading with two or three tone steps per surface, NO black outlines, NO gradients across the whole image, NO photorealism, NO 3D render, NO pixel art dithering. Warm saturated fantasy palette anchored on: grass #49a34a, deep leaf #3f9642, wood #8b5a2b, dark wood #6b4423, stone #8f97ab, cold stone #b7bfd0, water #7cc4ff, pale sky #cfe4ff, gold #ffd166, pale gold #ffe9a8, ember #c98a5c, arcane #c58cff, shadow #2a0c08. Clean readable silhouette that still reads at 1/4 size. Even ambient light from above, no cast shadow on the ground unless asked."
"tile_shore_dnw","assets/tiles/shore_dnw.png","64x64","32x32","이음새 타일","물가 · 좌상","shallow water with a foam line meeting wet sand around the top-left corner of the tile. Transition tile: one single edge of the square carries the second material, the rest of the tile is the first material. Straight top-down view. The image fills the entire canvas edge to edge with no border, no frame, no margin. The wavy boundary must start and end exactly at the two side edges so that neighbouring copies line up. No directional light, no border. Flat vector game art, hand-painted storybook look, soft cel shading with two or three tone steps per surface, NO black outlines, NO gradients across the whole image, NO photorealism, NO 3D render, NO pixel art dithering. Warm saturated fantasy palette anchored on: grass #49a34a, deep leaf #3f9642, wood #8b5a2b, dark wood #6b4423, stone #8f97ab, cold stone #b7bfd0, water #7cc4ff, pale sky #cfe4ff, gold #ffd166, pale gold #ffe9a8, ember #c98a5c, arcane #c58cff, shadow #2a0c08. Clean readable silhouette that still reads at 1/4 size. Even ambient light from above, no cast shadow on the ground unless asked."
"tile_shore_dne","assets/tiles/shore_dne.png","64x64","32x32","이음새 타일","물가 · 우상","shallow water with a foam line meeting wet sand around the top-right corner of the tile. Transition tile: one single edge of the square carries the second material, the rest of the tile is the first material. Straight top-down view. The image fills the entire canvas edge to edge with no border, no frame, no margin. The wavy boundary must start and end exactly at the two side edges so that neighbouring copies line up. No directional light, no border. Flat vector game art, hand-painted storybook look, soft cel shading with two or three tone steps per surface, NO black outlines, NO gradients across the whole image, NO photorealism, NO 3D render, NO pixel art dithering. Warm saturated fantasy palette anchored on: grass #49a34a, deep leaf #3f9642, wood #8b5a2b, dark wood #6b4423, stone #8f97ab, cold stone #b7bfd0, water #7cc4ff, pale sky #cfe4ff, gold #ffd166, pale gold #ffe9a8, ember #c98a5c, arcane #c58cff, shadow #2a0c08. Clean readable silhouette that still reads at 1/4 size. Even ambient light from above, no cast shadow on the ground unless asked."
"tile_shore_dse","assets/tiles/shore_dse.png","64x64","32x32","이음새 타일","물가 · 우하","shallow water with a foam line meeting wet sand around the bottom-right corner of the tile. Transition tile: one single edge of the square carries the second material, the rest of the tile is the first material. Straight top-down view. The image fills the entire canvas edge to edge with no border, no frame, no margin. The wavy boundary must start and end exactly at the two side edges so that neighbouring copies line up. No directional light, no border. Flat vector game art, hand-painted storybook look, soft cel shading with two or three tone steps per surface, NO black outlines, NO gradients across the whole image, NO photorealism, NO 3D render, NO pixel art dithering. Warm saturated fantasy palette anchored on: grass #49a34a, deep leaf #3f9642, wood #8b5a2b, dark wood #6b4423, stone #8f97ab, cold stone #b7bfd0, water #7cc4ff, pale sky #cfe4ff, gold #ffd166, pale gold #ffe9a8, ember #c98a5c, arcane #c58cff, shadow #2a0c08. Clean readable silhouette that still reads at 1/4 size. Even ambient light from above, no cast shadow on the ground unless asked."
"tile_shore_dsw","assets/tiles/shore_dsw.png","64x64","32x32","이음새 타일","물가 · 좌하","shallow water with a foam line meeting wet sand around the bottom-left corner of the tile. Transition tile: one single edge of the square carries the second material, the rest of the tile is the first material. Straight top-down view. The image fills the entire canvas edge to edge with no border, no frame, no margin. The wavy boundary must start and end exactly at the two side edges so that neighbouring copies line up. No directional light, no border. Flat vector game art, hand-painted storybook look, soft cel shading with two or three tone steps per surface, NO black outlines, NO gradients across the whole image, NO photorealism, NO 3D render, NO pixel art dithering. Warm saturated fantasy palette anchored on: grass #49a34a, deep leaf #3f9642, wood #8b5a2b, dark wood #6b4423, stone #8f97ab, cold stone #b7bfd0, water #7cc4ff, pale sky #cfe4ff, gold #ffd166, pale gold #ffe9a8, ember #c98a5c, arcane #c58cff, shadow #2a0c08. Clean readable silhouette that still reads at 1/4 size. Even ambient light from above, no cast shadow on the ground unless asked."
